CUI,CAEN,ACTIVE IMOBILIZATE - TOTAL,ACTIVE CIRCULANTE - TOTAL din care:,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
6300279,4646,20617284,28711501,6524002,13944541,8242413,2712,21682507,,,27648990,6000,,48532920,50362555,38010764,12351791,0,10526049,0,69
6322498,5229,1036916,20712797,,20520215,192582,95523,17614650,,143059,4087527,39379,,84863958,86130046,85378935,751111,0,547678,0,172
6345190,4690,10864313,31880318,16253931,13986073,1640314,65309,20488842,,249204,22071894,100000,,34615748,35272390,32009174,3263216,0,2690771,0,27
6355614,4645,4688019,10620301,5345225,2138739,3136337,,2002954,,,13305366,200000,,47093248,47150963,45267679,1883284,0,1599958,0,62
6384024,7112,1782216,20557291,,20413804,143487,597604,22738283,676975,355699,-833846,258246,,21879421,22143770,24806914,0,2663144,0,2663144,123
6422446,4669,6724281,28938055,16854906,10453457,1629692,64611,13001331,,17258,22708358,201000,,38350943,38021873,35429999,2591874,0,1977263,0,62
6423689,2712,870732,19787596,11972969,7420295,388163,54308,8267954,5055,0,12439627,53200,0,34127851,34658213,30208804,4449409,0,3644514,0,71
6436018,1071,259641,236886,89275,119251,28360,,418306,,,78221,200000,,3904048,3904626,3723251,181375,0,181375,0,60
6476349,4632,15713795,38110094,18329236,19435996,344862,369047,46628852,43750,0,7520334,4788130,0,60023921,76150198,75045811,1104387,0,937575,0,336
6502278,2630,3176234,36521094,9551352,12814718,14155024,747678,4779234,1009133,1001622,33655017,240000,,46857703,47919224,42873460,5045764,0,4146740,0,175
6504317,1414,3651876,713735,383442,222967,107326,,1501717,355539,,2508355,40000,,7669606,7963644,7823624,140020,0,140020,0,133
14090275,4221,8983305,20581781,3821467,16669717,90597,151510,26883994,,9284,2823318,117000,,64508977,64760307,62550837,2209470,0,1878642,0,109
14090429,4613,125016,16833562,1574555,14812092,446875,10727741,26406275,,,1280044,130000,,82386385,82142238,80920803,1221435,0,1038850,0,121
14099517,2120,9007730,19621575,5576726,6268311,63984,39073,13771081,,,14897297,8444351,,41521380,42692221,37710743,4981478,0,4501355,0,220
14125527,4690,5489179,24087617,7727577,8775888,7584152,54425,24278154,727225,,4625842,50000,,23955144,26248245,21038852,5209393,0,4401175,0,29
14228840,4722,1530938,473080,33479,195961,243640,2144,1782186,,,223976,200,,8991078,10917027,10661280,255747,0,209553,0,22
14244277,5510,16353453,3401677,453927,1778307,1169443,391319,18622910,12592,,1510947,10001410,,13346126,13660917,15349474,0,1688557,0,1710145,173
14269085,4519,14889744,39155474,18138861,15889394,5127219,2034,45293241,725578,137226,7891207,450000,,102362878,104227601,99473604,4753997,0,4011339,0,71
14273221,4110,709168511,212126687,70430,143600746,68455511,78650,12491128,915826525,,-6943805,400000,,20118378,24797531,24406198,391333,0,391333,0,135
14286728,4615,12791,30923510,26622662,3590357,54984,15754,19917718,,35435,10998902,3000000,,87798038,88582929,81513240,7069689,0,6096425,0,5
14303403,4641,1436771,7022465,1419280,3678985,1924200,28540,5172601,,,3315175,1689000,,14283756,14344700,13252265,1092435,0,918476,0,
14309635,8010,21446582,1082483,42519,391632,648332,22065,12150232,6229,175206,10219463,40200,,14397289,15778613,15193186,585427,0,418618,0,332
14314372,4675,4953712,16974667,5801827,9201453,1971387,61883,17209503,,,4780759,100000,,41220797,42007067,37508525,4498542,0,3723379,0,42
14314402,1089,20761191,7828749,1597434,5982144,249171,295888,17184455,3148504,619565,7933304,6247696,,25075058,26788438,26208194,580244,0,338366,0,111
14330840,4722,45282565,95175700,7442069,69098551,18635080,,1858514,,,138599751,169570200,,21823487,23471036,29949156,0,6478120,0,6478120,182
14390680,4299,5680530,1610009,1008301,356903,244805,,1748715,4006517,,1535307,1280000,,4240631,4605406,4598995,6411,0,5224,0,52
14423264,3103,11391030,21263178,5248028,8955834,7059316,22874,20730879,,,11946203,15200,,52712362,61404427,48062997,13341430,0,11188806,0,181
14428695,8299,11886897,7691405,19618,6992654,592653,,6146781,,0,13431521,3000000,,14280844,19358412,20382855,0,1024443,0,1024443,457
14435617,1812,11159258,12163014,1079750,7021147,4062117,135385,8846251,0,0,14611406,790000,,29134216,29158961,27592348,1566613,0,1293495,0,130
14441902,4632,3886111,28826595,8039353,19854162,933080,216481,26163417,,,6765770,976000,,116055159,117236853,115997507,1239346,0,957186,0,44
14442959,4519,11421532,23176498,19581490,2788017,806991,30488,14800218,43891,,19784409,1722400,,8751432,14278100,14068144,209956,0,209956,0,79
14467910,4321,12903001,7872835,2427022,3286139,2159674,33662,3388871,47143,,17373484,4098470,,9923504,11259548,10427683,831865,0,746259,0,59
14491854,1091,21808042,26228254,6074357,5970368,45290,111095,36470079,1398860,,10278452,4313000,,83483082,84701553,82180688,2520865,0,2100677,0,52
14494346,4511,90761848,37458940,7159166,30033824,265950,1863,110846679,,165033,17210939,2500000,,56750993,77608951,68651032,8957919,0,8957919,0,84
14545458,4120,2052311,31297348,438773,29051573,1807002,59949,3333595,15055065,,15020948,770000,,20414246,20779101,14019012,6760089,0,5692872,0,43
14570745,4690,6121259,32179857,18595013,9537889,4046955,11162,32608152,,,5704126,242370,,80006123,83392222,81315225,2076997,0,1948720,0,34
14577891,4673,9096925,16679294,4918928,10820843,810550,78005,16917027,,,8937197,6393130,,65020380,67165703,65010060,2155643,0,1844436,0,52
14622321,4690,1625131,30160697,7555353,22384157,221187,83047,25542231,,,6326644,10000,,61144441,64480484,61430257,3050227,0,2811124,0,46
18981735,4120,3236651,18224077,3178560,6187131,8858386,36056,12582973,,,8913811,35000,,37768595,38196674,37753486,443188,0,341561,0,38
18990288,7312,2616825,17861649,675573,15614020,1572056,60401,428957940,1459513,5344938,-415223516,405341550,,53404102,55732001,61030034,0,5298033,0,5298033,150
19003717,4511,50386818,12254537,8176294,3643343,434900,67596,18916347,301700,61629,43429275,80226332,,104783028,105209373,103923670,1285703,0,1285703,0,51
19012596,4520,232124,290644,1483,284974,4187,29020,623176,23804,,-95192,200,,74916,397915,409455,0,11540,0,11540,2
19024418,4212,13859717,69103928,21665758,10081096,37357074,465595,53316615,2248100,1571656,26292869,11655200,0,75411205,77516478,76126374,1390104,0,1390104,0,240
19033882,4120,62981763,189525207,134140516,51543562,3642440,272595,271673282,11528,696672,-19601917,100000,,92060837,113870975,91702285,22168690,0,22168690,0,20
19068945,6209,3338976,541004,345893,172779,22332,92703,3566111,,,406572,382570,,5714074,5721192,5679064,42128,0,7865,0,42
19094723,8010,862582,2103954,152741,1776124,175089,940976,9095068,,0,-5187556,500000,,6449427,6545054,7844079,0,1299025,0,1299025,279
19094855,7010,1900860,12500479,42693,12181337,276449,0,11314156,0,,3087183,1180,,48851537,49122890,45941856,3181034,0,2607806,0,1328
