CUI,CAEN,ACTIVE IMOBILIZATE - TOTAL,ACTIVE CIRCULANTE - TOTAL din care:,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
19040600,4110,11264967,106760598,21152934,37527914,48079750,51591,9355559,39070,2168833,106513694,147750270,0,29982651,34873769,37630589,0,2756820,0,2756820,0
19068805,4531,6193628,30094191,18233426,11683756,177009,33650,14251229,,,22070240,100000,,72572526,75659799,67384944,8274855,0,7458275,0,73
29813109,3600,,19757,,19279,478,,99084,,,-79327,50000,,129528,177123,215550,0,38427,0,38427,3
30852551,5610,11407404,6264922,2279920,3492551,492451,12166231,15103516,,,14735041,200,,54240682,55683879,48610285,7073594,0,6657363,0,204
32311331,9200,11262446,11149519,2693,727822,10419004,,3714074,,,18697891,30000,,47186870,47456219,32801761,14654458,0,13013800,0,180
32707728,3832,997778,19119255,11220692,2849204,5049359,,17280295,,,2836738,700,,5392290,6232387,9291601,0,3059214,0,3059214,
34557805,4632,4607654,6053903,2672739,3308357,72807,1285671,9955352,,,1991876,210,,52950451,54939131,54439774,499357,0,410037,0,94
34874331,1061,32171310,12455729,7357505,4775883,322341,0,31702287,1377147,,11547605,90000,,78531360,80510419,76172934,4337485,0,3614032,0,755
36493228,1610,11591777,9060775,8422183,619377,19215,31671,20568855,,18374,96994,20200,,29215143,30686444,32634902,0,1948458,0,1948458,81
380449,6110,449261,1817397,4050,464031,1349177,,7091626,,,-4824968,210,,3119536,3135588,3869915,0,734327,0,765683,64
1283479,5040,37465152,118945284,10450128,108408302,86854,168993,134406332,1656338,,20516759,1625240,,147333871,142017831,130447799,11570032,0,11223153,0,95
